datetime,小汽车数量,自行车数量,公交车数量,卡车数量,总车辆数量,交通状况,hour,weekday,is_weekend
2021-07-10 07:30:00,92,14,16,12,134,normal,7,5,0
2021-07-10 07:45:00,143,30,17,12,202,heavy,7,5,0
2021-07-10 08:00:00,134,18,21,11,184,heavy,8,5,0
2021-07-10 08:15:00,134,30,15,14,193,heavy,8,5,0
2021-07-10 08:30:00,119,13,14,13,159,normal,8,5,0
2021-07-10 08:45:00,139,12,22,13,186,heavy,8,5,0
2021-07-10 09:00:00,73,9,14,17,113,normal,9,5,0
2021-07-10 09:15:00,33,12,9,6,60,low,9,5,0
2021-07-10 09:30:00,69,9,26,9,113,high,9,5,0
2021-07-10 09:45:00,69,12,10,5,96,low,9,5,0
2021-07-10 10:00:00,55,11,9,17,92,low,10,5,0
2021-07-10 10:15:00,32,7,27,12,78,normal,10,5,0
2021-07-10 10:30:00,53,13,7,5,78,low,10,5,0
2021-07-10 10:45:00,34,10,9,35,88,normal,10,5,0
2021-07-10 11:00:00,32,10,10,26,78,normal,11,5,0
2021-07-10 11:15:00,47,10,5,25,87,normal,11,5,0
2021-07-10 11:30:00,28,0,5,29,62,normal,11,5,0
2021-07-10 11:45:00,35,7,13,34,89,normal,11,5,0
2021-07-10 12:00:00,38,10,8,31,87,normal,12,5,0
2021-07-10 12:15:00,32,3,12,35,82,normal,12,5,0
2021-07-10 12:30:00,54,5,12,29,100,normal,12,5,0
2021-07-10 12:45:00,52,2,12,29,95,normal,12,5,0
2021-07-10 13:00:00,68,19,18,30,135,normal,13,5,0
2021-07-10 13:15:00,73,15,3,17,108,low,13,5,0
2021-07-10 13:30:00,21,18,18,23,80,normal,13,5,0
2021-07-10 13:45:00,63,11,16,11,101,normal,13,5,0
2021-07-10 14:00:00,7,17,20,18,62,normal,14,5,0
2021-07-10 14:15:00,76,15,32,17,140,high,14,5,0
2021-07-10 14:30:00,59,14,18,28,119,normal,14,5,0
2021-07-10 14:45:00,90,9,3,14,116,normal,14,5,0
2021-07-10 15:00:00,5,13,4,20,42,normal,15,5,0
2021-07-10 15:15:00,33,18,22,23,96,normal,15,5,0
2021-07-10 15:30:00,39,19,13,23,94,normal,15,5,0
2021-07-10 15:45:00,150,21,10,14,195,heavy,15,5,0
2021-07-10 16:00:00,126,27,40,19,212,heavy,16,5,0
2021-07-10 16:15:00,144,7,35,17,203,heavy,16,5,0
2021-07-10 16:30:00,145,13,12,18,188,heavy,16,5,0
2021-07-10 16:45:00,121,29,27,15,192,heavy,16,5,0
2021-07-10 17:00:00,150,21,37,19,227,heavy,17,5,0
2021-07-10 17:15:00,122,8,10,11,151,normal,17,5,0
2021-07-10 17:30:00,129,20,35,18,202,heavy,17,5,0
2021-07-10 17:45:00,114,7,39,19,179,heavy,17,5,0
2021-07-10 18:00:00,109,10,26,17,162,high,18,5,0
2021-07-10 18:15:00,101,22,24,18,165,normal,18,5,0
2021-07-10 18:30:00,91,13,8,12,124,normal,18,5,0
2021-07-10 18:45:00,90,17,10,11,128,normal,18,5,0
2021-07-10 19:00:00,107,2,15,35,159,high,19,5,0
2021-07-10 19:15:00,66,7,5,22,100,normal,19,5,0
2021-07-10 19:30:00,98,5,7,30,140,normal,19,5,0
2021-07-10 19:45:00,91,10,17,28,146,normal,19,5,0
2021-07-10 20:00:00,82,4,9,20,115,normal,20,5,0
2021-07-10 20:15:00,65,10,19,18,112,normal,20,5,0
2021-07-10 20:30:00,54,3,20,15,92,normal,20,5,0
2021-07-10 20:45:00,78,6,16,35,135,high,20,5,0
2021-07-10 21:00:00,70,20,10,33,133,high,21,5,0
2021-07-10 21:15:00,90,9,11,11,121,normal,21,5,0
2021-07-10 21:30:00,96,0,19,23,138,normal,21,5,0
2021-07-10 21:45:00,14,1,0,27,42,normal,21,5,0
2021-07-10 22:00:00,7,1,0,36,44,normal,22,5,0
2021-07-10 22:15:00,9,0,2,35,46,normal,22,5,0
2021-07-10 22:30:00,7,0,0,34,41,normal,22,5,0
2021-07-10 22:45:00,11,0,1,33,45,normal,22,5,0
2021-07-10 23:00:00,11,2,2,40,55,normal,23,5,0
2021-07-10 23:15:00,11,1,0,31,43,normal,23,5,0
2021-07-10 23:30:00,9,2,1,20,32,normal,23,5,0
2021-07-10 23:45:00,8,1,2,31,42,normal,23,5,0
2021-07-11 00:00:00,9,1,2,29,41,normal,0,6,1
2021-07-11 00:15:00,12,2,1,32,47,normal,0,6,1
2021-07-11 00:30:00,11,2,1,33,47,normal,0,6,1
2021-07-11 00:45:00,7,0,0,29,36,normal,0,6,1
2021-07-11 01:00:00,5,1,2,21,29,normal,1,6,1
2021-07-11 01:15:00,13,1,2,20,36,normal,1,6,1
2021-07-11 01:30:00,7,1,0,40,48,normal,1,6,1
2021-07-11 01:45:00,13,2,2,30,47,normal,1,6,1
2021-07-11 02:00:00,10,0,2,35,47,normal,2,6,1
2021-07-11 02:15:00,15,2,2,32,51,normal,2,6,1
2021-07-11 02:30:00,8,2,2,26,38,normal,2,6,1
2021-07-11 02:45:00,11,0,0,28,39,normal,2,6,1
2021-07-11 03:00:00,7,0,1,36,44,normal,3,6,1
2021-07-11 03:15:00,8,0,1,32,41,normal,3,6,1
2021-07-11 03:30:00,15,1,0,35,51,normal,3,6,1
2021-07-11 03:45:00,9,1,0,33,43,normal,3,6,1
2021-07-11 04:00:00,72,7,2,14,95,low,4,6,1
2021-07-11 04:15:00,64,7,7,20,98,normal,4,6,1
2021-07-11 04:30:00,85,8,5,14,112,normal,4,6,1
2021-07-11 04:45:00,73,6,6,15,100,low,4,6,1
2021-07-11 05:00:00,57,0,0,15,72,low,5,6,1
2021-07-11 05:15:00,81,4,4,24,113,normal,5,6,1
2021-07-11 05:30:00,54,6,3,18,81,low,5,6,1
2021-07-11 05:45:00,97,22,23,12,154,normal,5,6,1
2021-07-11 06:00:00,109,10,14,13,146,normal,6,6,1
2021-07-11 06:15:00,102,23,23,11,159,normal,6,6,1
2021-07-11 06:30:00,135,13,18,6,172,heavy,6,6,1
2021-07-11 06:45:00,105,12,13,9,139,normal,6,6,1
2021-07-11 07:00:00,90,17,19,8,134,normal,7,6,1
2021-07-11 07:15:00,104,14,19,7,144,normal,7,6,1
2021-07-11 07:30:00,134,20,24,8,186,heavy,7,6,1
2021-07-11 07:45:00,120,26,17,8,171,heavy,7,6,1
2021-07-11 08:00:00,142,19,16,5,182,heavy,8,6,1
2021-07-11 08:15:00,121,28,20,15,184,heavy,8,6,1
2021-07-11 08:30:00,85,26,17,9,137,normal,8,6,1
2021-07-11 08:45:00,140,15,14,12,181,heavy,8,6,1
2021-07-11 09:00:00,68,12,29,12,121,high,9,6,1
2021-07-11 09:15:00,56,7,14,15,92,low,9,6,1
2021-07-11 09:30:00,33,14,12,19,78,normal,9,6,1
2021-07-11 09:45:00,61,9,18,6,94,normal,9,6,1
2021-07-11 10:00:00,36,10,24,14,84,normal,10,6,1
2021-07-11 10:15:00,57,13,22,19,111,normal,10,6,1
2021-07-11 10:30:00,64,9,20,19,112,normal,10,6,1
2021-07-11 10:45:00,30,7,1,31,69,normal,10,6,1
2021-07-11 11:00:00,54,10,10,28,102,normal,11,6,1
2021-07-11 11:15:00,28,5,12,29,74,normal,11,6,1
2021-07-11 11:30:00,50,2,4,30,86,normal,11,6,1
2021-07-11 11:45:00,60,4,3,26,93,normal,11,6,1
2021-07-11 12:00:00,39,4,4,30,77,normal,12,6,1
2021-07-11 12:15:00,32,1,12,27,72,normal,12,6,1
2021-07-11 12:30:00,59,3,12,28,102,normal,12,6,1
2021-07-11 12:45:00,64,9,9,25,107,normal,12,6,1
2021-07-11 13:00:00,52,17,17,21,107,normal,13,6,1
2021-07-11 13:15:00,96,14,3,22,135,normal,13,6,1
2021-07-11 13:30:00,61,8,21,24,114,normal,13,6,1
2021-07-11 13:45:00,100,7,11,22,140,normal,13,6,1
2021-07-11 14:00:00,6,8,32,24,70,normal,14,6,1
2021-07-11 14:15:00,88,14,32,26,160,high,14,6,1
2021-07-11 14:30:00,27,14,15,23,79,normal,14,6,1
2021-07-11 14:45:00,22,15,21,10,68,normal,14,6,1
2021-07-11 15:00:00,53,5,17,21,96,normal,15,6,1
2021-07-11 15:15:00,61,11,27,22,121,high,15,6,1
2021-07-11 15:30:00,74,13,5,26,118,normal,15,6,1
2021-07-11 15:45:00,121,7,16,20,164,normal,15,6,1
2021-07-11 16:00:00,110,9,37,13,169,heavy,16,6,1
2021-07-11 16:15:00,116,12,39,12,179,heavy,16,6,1
2021-07-11 16:30:00,100,27,39,13,179,heavy,16,6,1
2021-07-11 16:45:00,118,11,28,11,168,heavy,16,6,1
2021-07-11 17:00:00,137,14,13,13,177,heavy,17,6,1
2021-07-11 17:15:00,130,23,14,18,185,heavy,17,6,1
2021-07-11 17:30:00,146,13,10,18,187,heavy,17,6,1
2021-07-11 17:45:00,114,23,19,11,167,normal,17,6,1
2021-07-11 18:00:00,104,18,15,15,152,normal,18,6,1
2021-07-11 18:15:00,114,24,31,10,179,heavy,18,6,1
2021-07-11 18:30:00,90,0,18,11,119,normal,18,6,1
2021-07-11 18:45:00,95,2,9,15,121,normal,18,6,1
2021-07-11 19:00:00,60,4,7,28,99,normal,19,6,1
2021-07-11 19:15:00,72,1,9,32,114,high,19,6,1
2021-07-11 19:30:00,92,20,11,31,154,high,19,6,1
2021-07-11 19:45:00,70,18,9,23,120,normal,19,6,1
2021-07-11 20:00:00,97,8,17,10,132,normal,20,6,1
2021-07-11 20:15:00,72,11,5,24,112,normal,20,6,1
2021-07-11 20:30:00,60,12,20,28,120,normal,20,6,1
2021-07-11 20:45:00,62,7,7,13,89,low,20,6,1
2021-07-11 21:00:00,79,19,13,17,128,normal,21,6,1
2021-07-11 21:15:00,92,9,15,19,135,normal,21,6,1
2021-07-11 21:30:00,62,1,5,10,78,low,21,6,1
2021-07-11 21:45:00,13,0,1,39,53,normal,21,6,1
2021-07-11 22:00:00,15,2,1,24,42,normal,22,6,1
2021-07-11 22:15:00,12,2,2,22,38,normal,22,6,1
2021-07-11 22:30:00,5,0,0,36,41,normal,22,6,1
2021-07-11 22:45:00,11,1,2,26,40,normal,22,6,1
2021-07-11 23:00:00,6,1,2,28,37,normal,23,6,1
2021-07-11 23:15:00,6,0,1,27,34,normal,23,6,1
2021-07-11 23:30:00,10,0,2,33,45,normal,23,6,1
2021-07-11 23:45:00,5,0,1,27,33,normal,23,6,1
2021-07-12 00:00:00,6,1,2,37,46,normal,0,0,0
2021-07-12 00:15:00,5,2,1,36,44,normal,0,0,0
2021-07-12 00:30:00,6,1,0,26,33,normal,0,0,0
2021-07-12 00:45:00,9,2,0,21,32,normal,0,0,0
2021-07-12 01:00:00,11,2,2,35,50,normal,1,0,0
2021-07-12 01:15:00,8,2,0,34,44,normal,1,0,0
2021-07-12 01:30:00,14,2,0,35,51,normal,1,0,0
2021-07-12 01:45:00,8,0,0,36,44,normal,1,0,0
2021-07-12 02:00:00,10,1,0,21,32,normal,2,0,0
2021-07-12 02:15:00,14,0,1,35,50,normal,2,0,0
2021-07-12 02:30:00,8,1,0,21,30,normal,2,0,0
2021-07-12 02:45:00,12,2,1,37,52,normal,2,0,0
2021-07-12 03:00:00,15,2,1,30,48,normal,3,0,0
2021-07-12 03:15:00,12,2,1,33,48,normal,3,0,0
2021-07-12 03:30:00,8,0,2,38,48,normal,3,0,0
2021-07-12 03:45:00,10,1,2,39,52,normal,3,0,0
2021-07-12 04:00:00,90,5,0,28,123,normal,4,0,0
2021-07-12 04:15:00,57,9,0,15,81,low,4,0,0
2021-07-12 04:30:00,61,5,0,11,77,low,4,0,0
2021-07-12 04:45:00,84,10,6,16,116,normal,4,0,0
2021-07-12 05:00:00,59,8,5,18,90,low,5,0,0
2021-07-12 05:15:00,64,5,3,27,99,normal,5,0,0
2021-07-12 05:30:00,72,3,5,10,90,low,5,0,0
2021-07-12 05:45:00,102,12,14,7,135,normal,5,0,0
2021-07-12 06:00:00,132,16,23,9,180,heavy,6,0,0
2021-07-12 06:15:00,114,11,25,7,157,normal,6,0,0
2021-07-12 06:30:00,117,18,22,12,169,heavy,6,0,0
2021-07-12 06:45:00,149,15,10,15,189,heavy,6,0,0
2021-07-12 07:00:00,103,29,12,6,150,normal,7,0,0
2021-07-12 07:15:00,81,30,16,5,132,normal,7,0,0
2021-07-12 07:30:00,140,14,12,12,178,heavy,7,0,0
2021-07-12 07:45:00,88,25,23,5,141,normal,7,0,0
2021-07-12 08:00:00,146,17,20,6,189,heavy,8,0,0
2021-07-12 08:15:00,148,16,25,6,195,heavy,8,0,0
2021-07-12 08:30:00,125,21,22,11,179,heavy,8,0,0
2021-07-12 08:45:00,88,30,23,5,146,normal,8,0,0
2021-07-12 09:00:00,67,14,24,19,124,normal,9,0,0
2021-07-12 09:15:00,56,12,30,16,114,high,9,0,0
2021-07-12 09:30:00,75,9,15,19,118,normal,9,0,0
2021-07-12 09:45:00,52,8,5,12,77,low,9,0,0
2021-07-12 10:00:00,40,9,25,12,86,normal,10,0,0
2021-07-12 10:15:00,46,7,30,13,96,normal,10,0,0
2021-07-12 10:30:00,76,6,8,14,104,low,10,0,0
2021-07-12 10:45:00,62,6,6,25,99,normal,10,0,0
2021-07-12 11:00:00,63,8,9,27,107,normal,11,0,0
2021-07-12 11:15:00,39,2,12,25,78,normal,11,0,0
2021-07-12 11:30:00,55,7,4,35,101,normal,11,0,0
2021-07-12 11:45:00,64,9,8,34,115,high,11,0,0
2021-07-12 12:00:00,56,1,5,27,89,normal,12,0,0
2021-07-12 12:15:00,43,3,4,35,85,normal,12,0,0
2021-07-12 12:30:00,52,0,3,30,85,normal,12,0,0
2021-07-12 12:45:00,25,7,4,33,69,normal,12,0,0
2021-07-12 13:00:00,47,13,0,18,78,low,13,0,0
2021-07-12 13:15:00,26,16,31,26,99,normal,13,0,0
2021-07-12 13:30:00,86,3,9,30,128,normal,13,0,0
2021-07-12 13:45:00,46,6,21,11,84,normal,13,0,0
2021-07-12 14:00:00,66,13,3,26,108,normal,14,0,0
2021-07-12 14:15:00,89,19,21,18,147,normal,14,0,0
2021-07-12 14:30:00,88,1,10,21,120,normal,14,0,0
2021-07-12 14:45:00,88,8,8,24,128,normal,14,0,0
2021-07-12 15:00:00,96,20,28,14,158,high,15,0,0
2021-07-12 15:15:00,70,1,20,16,107,normal,15,0,0
2021-07-12 15:30:00,79,3,14,22,118,normal,15,0,0
2021-07-12 15:45:00,133,6,21,15,175,heavy,15,0,0
2021-07-12 16:00:00,128,11,38,14,191,heavy,16,0,0
2021-07-12 16:15:00,123,27,34,13,197,heavy,16,0,0
2021-07-12 16:30:00,129,23,17,16,185,heavy,16,0,0
2021-07-12 16:45:00,104,22,40,11,177,heavy,16,0,0
2021-07-12 17:00:00,128,9,19,14,170,heavy,17,0,0
2021-07-12 17:15:00,130,10,38,11,189,heavy,17,0,0
2021-07-12 17:30:00,146,14,35,15,210,heavy,17,0,0
2021-07-12 17:45:00,120,22,32,17,191,heavy,17,0,0
2021-07-12 18:00:00,102,25,31,14,172,heavy,18,0,0
2021-07-12 18:15:00,116,11,18,18,163,normal,18,0,0
2021-07-12 18:30:00,83,19,15,22,139,normal,18,0,0
2021-07-12 18:45:00,67,10,11,24,112,normal,18,0,0
2021-07-12 19:00:00,98,5,9,25,137,normal,19,0,0
2021-07-12 19:15:00,61,2,11,31,105,normal,19,0,0
2021-07-12 19:30:00,80,14,5,15,114,normal,19,0,0
2021-07-12 19:45:00,59,5,6,11,81,low,19,0,0
2021-07-12 20:00:00,68,14,20,10,112,normal,20,0,0
2021-07-12 20:15:00,84,15,12,16,127,normal,20,0,0
2021-07-12 20:30:00,67,19,16,17,119,normal,20,0,0
2021-07-12 20:45:00,53,14,19,33,119,high,20,0,0
2021-07-12 21:00:00,50,1,6,20,77,normal,21,0,0
2021-07-12 21:15:00,64,0,9,32,105,normal,21,0,0
2021-07-12 21:30:00,70,4,5,24,103,normal,21,0,0
2021-07-12 21:45:00,5,0,0,38,43,normal,21,0,0
2021-07-12 22:00:00,11,2,0,38,51,normal,22,0,0
2021-07-12 22:15:00,11,1,1,40,53,normal,22,0,0
2021-07-12 22:30:00,12,1,2,31,46,normal,22,0,0
2021-07-12 22:45:00,5,1,0,36,42,normal,22,0,0
2021-07-12 23:00:00,5,0,0,23,28,normal,23,0,0
2021-07-12 23:15:00,6,0,2,26,34,normal,23,0,0
2021-07-12 23:30:00,15,1,2,20,38,normal,23,0,0
2021-07-12 23:45:00,6,2,0,24,32,normal,23,0,0
2021-07-13 00:00:00,6,1,2,40,49,normal,0,1,0
2021-07-13 00:15:00,6,1,0,39,46,normal,0,1,0
2021-07-13 00:30:00,15,1,2,23,41,normal,0,1,0
2021-07-13 00:45:00,7,1,2,35,45,normal,0,1,0
2021-07-13 01:00:00,15,0,0,22,37,normal,1,1,0
2021-07-13 01:15:00,11,2,2,33,48,normal,1,1,0
2021-07-13 01:30:00,14,2,1,24,41,normal,1,1,0
2021-07-13 01:45:00,5,2,2,36,45,normal,1,1,0
2021-07-13 02:00:00,9,0,2,35,46,normal,2,1,0
2021-07-13 02:15:00,14,0,0,30,44,normal,2,1,0
2021-07-13 02:30:00,5,0,0,29,34,normal,2,1,0
2021-07-13 02:45:00,9,0,1,36,46,normal,2,1,0
2021-07-13 03:00:00,15,1,2,36,54,normal,3,1,0
2021-07-13 03:15:00,11,1,0,20,32,normal,3,1,0
2021-07-13 03:30:00,14,1,2,29,46,normal,3,1,0
2021-07-13 03:45:00,5,0,1,38,44,normal,3,1,0
2021-07-13 04:00:00,54,7,2,27,90,normal,4,1,0
2021-07-13 04:15:00,52,5,2,54,113,high,4,1,0
2021-07-13 04:30:00,64,7,3,59,133,high,4,1,0
2021-07-13 04:45:00,28,7,4,35,74,normal,4,1,0
2021-07-13 05:00:00,79,2,2,48,131,high,5,1,0
2021-07-13 05:15:00,58,0,3,35,96,normal,5,1,0
2021-07-13 05:30:00,43,4,0,48,95,normal,5,1,0
2021-07-13 05:45:00,72,5,3,57,137,high,5,1,0
2021-07-13 06:00:00,63,0,0,43,106,normal,6,1,0
2021-07-13 06:15:00,58,10,1,58,127,high,6,1,0
2021-07-13 06:30:00,25,2,3,26,56,normal,6,1,0
2021-07-13 06:45:00,26,6,2,56,90,normal,6,1,0
2021-07-13 07:00:00,53,5,5,25,88,normal,7,1,0
2021-07-13 07:15:00,34,6,1,34,75,normal,7,1,0
2021-07-13 07:30:00,27,3,5,53,88,normal,7,1,0
2021-07-13 07:45:00,77,0,3,44,124,high,7,1,0
2021-07-13 08:00:00,65,10,1,52,128,high,8,1,0
2021-07-13 08:15:00,65,6,3,55,129,high,8,1,0
2021-07-13 08:30:00,78,6,2,35,121,high,8,1,0
2021-07-13 08:45:00,36,6,5,57,104,normal,8,1,0
2021-07-13 09:00:00,144,42,11,7,204,heavy,9,1,0
2021-07-13 09:15:00,125,29,19,6,179,heavy,9,1,0
2021-07-13 09:30:00,114,50,6,8,178,heavy,9,1,0
2021-07-13 09:45:00,136,24,20,6,186,heavy,9,1,0
2021-07-13 10:00:00,114,37,19,7,177,heavy,10,1,0
2021-07-13 10:15:00,141,50,16,5,212,heavy,10,1,0
2021-07-13 10:30:00,117,50,20,10,197,heavy,10,1,0
2021-07-13 10:45:00,103,40,11,9,163,normal,10,1,0
2021-07-13 11:00:00,131,39,5,5,180,heavy,11,1,0
2021-07-13 11:15:00,119,22,6,8,155,normal,11,1,0
2021-07-13 11:30:00,104,35,19,9,167,normal,11,1,0
2021-07-13 11:45:00,146,24,13,6,189,heavy,11,1,0
2021-07-13 12:00:00,134,26,14,6,180,heavy,12,1,0
2021-07-13 12:15:00,111,46,19,8,184,heavy,12,1,0
2021-07-13 12:30:00,106,37,19,8,170,heavy,12,1,0
2021-07-13 12:45:00,128,36,12,9,185,heavy,12,1,0
2021-07-13 13:00:00,101,36,11,9,157,normal,13,1,0
2021-07-13 13:15:00,142,21,7,9,179,heavy,13,1,0
2021-07-13 13:30:00,124,21,10,5,160,normal,13,1,0
2021-07-13 13:45:00,103,22,20,7,152,normal,13,1,0
2021-07-13 14:00:00,139,47,7,8,201,heavy,14,1,0
2021-07-13 14:15:00,127,28,20,10,185,heavy,14,1,0
2021-07-13 14:30:00,126,39,13,7,185,heavy,14,1,0
2021-07-13 14:45:00,100,41,15,8,164,normal,14,1,0
2021-07-13 15:00:00,66,5,5,17,93,low,15,1,0
2021-07-13 15:15:00,83,13,9,10,115,normal,15,1,0
2021-07-13 15:30:00,50,6,15,9,80,low,15,1,0
2021-07-13 15:45:00,50,13,1,11,75,low,15,1,0
2021-07-13 16:00:00,65,5,1,20,91,normal,16,1,0
2021-07-13 16:15:00,72,8,12,19,111,normal,16,1,0
2021-07-13 16:30:00,80,7,0,9,96,low,16,1,0
2021-07-13 16:45:00,71,5,10,5,91,low,16,1,0
2021-07-13 17:00:00,83,11,2,12,108,low,17,1,0
2021-07-13 17:15:00,54,5,6,10,75,low,17,1,0
2021-07-13 17:30:00,55,6,4,10,75,low,17,1,0
2021-07-13 17:45:00,56,15,14,5,90,low,17,1,0
2021-07-13 18:00:00,71,8,13,12,104,low,18,1,0
2021-07-13 18:15:00,59,5,13,18,95,low,18,1,0
2021-07-13 18:30:00,62,14,4,10,90,low,18,1,0
2021-07-13 18:45:00,68,10,9,20,107,normal,18,1,0
2021-07-13 19:00:00,27,0,3,40,70,normal,19,1,0
2021-07-13 19:15:00,45,3,1,44,93,normal,19,1,0
2021-07-13 19:30:00,23,3,1,39,66,normal,19,1,0
2021-07-13 19:45:00,50,4,4,40,98,normal,19,1,0
2021-07-13 20:00:00,29,2,4,39,74,normal,20,1,0
2021-07-13 20:15:00,26,1,5,30,62,normal,20,1,0
2021-07-13 20:30:00,43,4,5,39,91,normal,20,1,0
2021-07-13 20:45:00,33,5,0,25,63,normal,20,1,0
2021-07-13 21:00:00,21,2,4,30,57,normal,21,1,0
2021-07-13 21:15:00,47,2,4,40,93,normal,21,1,0
2021-07-13 21:30:00,24,4,4,41,73,normal,21,1,0
2021-07-13 21:45:00,11,0,2,27,40,normal,21,1,0
2021-07-13 22:00:00,5,1,1,37,44,normal,22,1,0
2021-07-13 22:15:00,14,2,1,22,39,normal,22,1,0
2021-07-13 22:30:00,6,2,0,39,47,normal,22,1,0
2021-07-13 22:45:00,15,2,2,37,56,normal,22,1,0
2021-07-13 23:00:00,9,2,2,36,49,normal,23,1,0
2021-07-13 23:15:00,11,0,0,34,45,normal,23,1,0
2021-07-13 23:30:00,13,1,2,25,41,normal,23,1,0
2021-07-13 23:45:00,13,1,2,31,47,normal,23,1,0
2021-07-14 00:00:00,10,0,0,37,47,normal,0,2,0
2021-07-14 00:15:00,6,2,0,20,28,normal,0,2,0
2021-07-14 00:30:00,12,1,1,36,50,normal,0,2,0
2021-07-14 00:45:00,9,2,0,27,38,normal,0,2,0
2021-07-14 01:00:00,13,1,0,35,49,normal,1,2,0
2021-07-14 01:15:00,7,0,1,40,48,normal,1,2,0
2021-07-14 01:30:00,6,1,1,37,45,normal,1,2,0
2021-07-14 01:45:00,8,1,1,27,37,normal,1,2,0
2021-07-14 02:00:00,9,2,2,30,43,normal,2,2,0
2021-07-14 02:15:00,7,1,0,38,46,normal,2,2,0
2021-07-14 02:30:00,6,0,1,35,42,normal,2,2,0
2021-07-14 02:45:00,7,0,2,27,36,normal,2,2,0
2021-07-14 03:00:00,5,0,0,36,41,normal,3,2,0
2021-07-14 03:15:00,11,2,2,25,40,normal,3,2,0
2021-07-14 03:30:00,5,1,2,22,30,normal,3,2,0
2021-07-14 03:45:00,14,0,1,30,45,normal,3,2,0
2021-07-14 04:00:00,55,1,1,30,87,normal,4,2,0
2021-07-14 04:15:00,74,10,1,10,95,low,4,2,0
2021-07-14 04:30:00,89,7,1,21,118,normal,4,2,0
2021-07-14 04:45:00,87,9,6,17,119,normal,4,2,0
2021-07-14 05:00:00,80,10,3,19,112,normal,5,2,0
2021-07-14 05:15:00,89,7,0,25,121,normal,5,2,0
2021-07-14 05:30:00,89,6,6,17,118,normal,5,2,0
2021-07-14 05:45:00,134,12,20,5,171,heavy,5,2,0
2021-07-14 06:00:00,104,16,11,15,146,normal,6,2,0
2021-07-14 06:15:00,132,10,20,13,175,heavy,6,2,0
2021-07-14 06:30:00,112,16,18,12,158,normal,6,2,0
2021-07-14 06:45:00,84,25,11,15,135,normal,6,2,0
2021-07-14 07:00:00,101,25,21,15,162,normal,7,2,0
2021-07-14 07:15:00,141,16,25,10,192,heavy,7,2,0
2021-07-14 07:30:00,108,29,23,11,171,heavy,7,2,0
2021-07-14 07:45:00,147,27,25,7,206,heavy,7,2,0
2021-07-14 08:00:00,102,10,18,12,142,normal,8,2,0
2021-07-14 08:15:00,141,30,19,7,197,heavy,8,2,0
2021-07-14 08:30:00,118,23,19,15,175,heavy,8,2,0
2021-07-14 08:45:00,90,27,12,10,139,normal,8,2,0
2021-07-14 09:00:00,35,5,25,11,76,normal,9,2,0
2021-07-14 09:15:00,80,11,8,19,118,normal,9,2,0
2021-07-14 09:30:00,71,15,7,10,103,low,9,2,0
2021-07-14 09:45:00,58,5,5,7,75,low,9,2,0
2021-07-14 10:00:00,36,5,15,19,75,normal,10,2,0
2021-07-14 10:15:00,36,15,22,11,84,normal,10,2,0
2021-07-14 10:30:00,30,12,20,17,79,normal,10,2,0
2021-07-14 10:45:00,29,5,11,29,74,normal,10,2,0
2021-07-14 11:00:00,34,8,10,25,77,normal,11,2,0
2021-07-14 11:15:00,61,3,6,31,101,normal,11,2,0
2021-07-14 11:30:00,52,7,5,27,91,normal,11,2,0
2021-07-14 11:45:00,24,0,12,34,70,normal,11,2,0
2021-07-14 12:00:00,28,9,5,25,67,normal,12,2,0
